Left,Center,Right,Steering,Acceleration,Brake,Speed,Time,X,Y,Z,RX,RY,RZ
left_2018_11_10_13_35_21_929.jpg,center_2018_11_10_13_35_21_929.jpg,right_2018_11_10_13_35_21_929.jpg,0.00,0,0,0,858.6843,15.51973,6.843736,109.0635,-0.002541955,185.1764,0.000831154
left_2018_11_10_13_35_21_996.jpg,center_2018_11_10_13_35_21_996.jpg,right_2018_11_10_13_35_21_996.jpg,0.00,0,0,0,858.7403,15.51973,6.843735,109.0635,-0.002545827,185.1764,0.000816182
left_2018_11_10_13_35_22_079.jpg,center_2018_11_10_13_35_22_079.jpg,right_2018_11_10_13_35_22_079.jpg,0.00,0,0,0,858.7961,15.51973,6.843736,109.0635,-0.002546859,185.1764,0.000819413
left_2018_11_10_13_35_22_161.jpg,center_2018_11_10_13_35_22_161.jpg,right_2018_11_10_13_35_22_161.jpg,0.00,0,0,0,858.8481,15.51973,6.843736,109.0635,-0.0025497,185.1764,0.000819504
left_2018_11_10_13_35_22_245.jpg,center_2018_11_10_13_35_22_245.jpg,right_2018_11_10_13_35_22_245.jpg,0.00,0.02523316,0,0,858.8991,15.51963,6.843743,109.0627,359.9923,185.1752,0.001487742
left_2018_11_10_13_35_22_326.jpg,center_2018_11_10_13_35_22_326.jpg,right_2018_11_10_13_35_22_326.jpg,0.00,0.06626573,0,0,858.9514,15.5195,6.843753,109.0619,0.001183481,185.166,0.001941271
left_2018_11_10_13_35_22_410.jpg,center_2018_11_10_13_35_22_410.jpg,right_2018_11_10_13_35_22_410.jpg,0.00,0.1076825,0,0,859.0019,15.51925,6.843741,109.06,359.9849,185.157,0.00186834
left_2018_11_10_13_35_22_492.jpg,center_2018_11_10_13_35_22_492.jpg,right_2018_11_10_13_35_22_492.jpg,0.00,0.149114,0,0,859.0562,15.51889,6.843749,109.0566,359.9751,185.1737,0.001538425
left_2018_11_10_13_35_22_575.jpg,center_2018_11_10_13_35_22_575.jpg,right_2018_11_10_13_35_22_575.jpg,0.00,0.1905222,0,0,859.107,15.51835,6.843749,109.0513,359.9649,185.1782,0.001144061
left_2018_11_10_13_35_22_658.jpg,center_2018_11_10_13_35_22_658.jpg,right_2018_11_10_13_35_22_658.jpg,0.00,0.2319629,0,0,859.1603,15.51762,6.843748,109.0439,359.9594,185.179,0.001060982
left_2018_11_10_13_35_22_741.jpg,center_2018_11_10_13_35_22_741.jpg,right_2018_11_10_13_35_22_741.jpg,0.00,0.2733514,0,0,859.2111,15.51633,6.843766,109.0308,359.9522,185.1662,0.001011659
left_2018_11_10_13_35_22_823.jpg,center_2018_11_10_13_35_22_823.jpg,right_2018_11_10_13_35_22_823.jpg,0.00,0.3147678,0,0,859.2645,15.51495,6.84378,109.0161,359.9381,185.1666,0.000884147
